1,45,165
2,92,145
3,38,159
4,39,111
5,61,123
6,47,223
7,99,239
8,199,37
9,13,297
10,105,368
11,16,413
12,43,462
13,7,428
14,31,491
15,278,587
16,215,428
17,369,570
18,219,531
19,251,598
20,280,283
21,382,248
22,340,203
23,369,347
24,230,376
25,288,223
26,389,126
27,310,132
28,274,31
29,335,131
30,298,177
31,577,7
32,593,62
33,424,15
34,428,165
35,460,161
36,476,79
37,555,214
38,489,330
39,560,216
40,447,298
41,483,373
42,593,389
43,496,493
44,429,527
45,534,449
46,475,495
47,570,455
48,545,575
49,501,576
50,467,402
51,169,35
52,110,52
53,51,20
54,186,14
55,62,96
56,198,35
57,4,57
58,44,82
59,54,78
60,175,12
61,196,59
62,71,82
63,140,15
64,746,786
65,714,792
66,795,742
67,748,750
68,732,765
69,708,779
70,739,718
71,767,769
72,786,786
73,733,706
74,748,769
75,788,749
76,728,765
77,781,767
78,713,728
79,734,758
80,708,789
